* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (2- OmniMic                  ), MICROPHONE (Master Volume), L, volume: 0,520
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: Jul 14, 2023 2:58:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DeltaSE 50 -12 - yeni
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
183.105482	85.446	68.3198
183.471693	85.486	65.9124
183.837904	85.524	63.5183
184.204115	85.559	61.1372
184.570326	85.591	58.7688
184.936537	85.621	56.4126
185.302748	85.647	54.0686
185.668959	85.670	51.7368
186.035170	85.689	49.4180
186.401381	85.705	47.1118
186.767592	85.718	44.8196
187.133803	85.727	42.5415
187.500014	85.733	40.2781
187.866225	85.734	38.0303
188.232436	85.733	35.7988
188.598647	85.728	33.5845
188.964857	85.719	31.3879
189.331068	85.706	29.2102
189.697279	85.691	27.0518
190.063490	85.671	24.9136
190.429701	85.648	22.7964
190.795912	85.622	20.7007
191.162123	85.593	18.6274
191.528334	85.560	16.5769
191.894545	85.524	14.5498
192.260756	85.485	12.5469
192.626967	85.443	10.5686
192.993178	85.398	8.6152
193.359389	85.351	6.6873
193.725600	85.300	4.7849
194.091811	85.246	2.9089
194.458022	85.190	1.0593
194.824233	85.131	-0.7637
195.190444	85.070	-2.5596
195.556655	85.006	-4.3284
195.922866	84.940	-6.0698
196.289077	84.871	-7.7839
196.655288	84.800	-9.4705
197.021499	84.727	-11.1294
197.387710	84.652	-12.7607
197.753921	84.574	-14.3645
198.120132	84.495	-15.9409
198.486343	84.414	-17.4900
198.852554	84.331	-19.0120
199.218765	84.247	-20.5071
199.584976	84.161	-21.9756
199.951187	84.074	-23.4177
200.317397	83.985	-24.8345
200.683608	83.895	-26.2261
201.049819	83.804	-27.5930
201.416030	83.712	-28.9360
201.782241	83.620	-30.2561
202.148452	83.526	-31.5540
202.514663	83.432	-32.8303
202.880874	83.338	-34.0862
203.247085	83.243	-35.3228
203.613296	83.148	-36.5408
203.979507	83.054	-37.7417
204.345718	82.959	-38.9263
204.711929	82.864	-40.0957
205.078140	82.770	-41.2510
205.444351	82.676	-42.3936
205.810562	82.583	-43.5239
206.176773	82.490	-44.6433
206.542984	82.397	-45.7527
206.909195	82.305	-46.8528
207.275406	82.214	-47.9443
207.641617	82.123	-49.0281
208.007828	82.033	-50.1042
208.374039	81.944	-51.1733
208.740250	81.854	-52.2356
209.106461	81.766	-53.2913
209.472672	81.677	-54.3401
209.838883	81.589	-55.3818
210.205094	81.501	-56.4165
210.571305	81.413	-57.4431
210.937516	81.325	-58.4617
211.303726	81.237	-59.4707
211.669937	81.148	-60.4697
212.036148	81.059	-61.4578
212.402359	80.969	-62.4333
212.768570	80.878	-63.3955
213.134781	80.787	-64.3428
213.500992	80.694	-65.2737
213.867203	80.600	-66.1873
214.233414	80.505	-67.0815
214.599625	80.408	-67.9551
214.965836	80.310	-68.8066
215.332047	80.210	-69.6345
215.698258	80.109	-70.4375
216.064469	80.005	-71.2141
216.430680	79.900	-71.9631
216.796891	79.794	-72.6833
217.163102	79.685	-73.3738
217.529313	79.574	-74.0337
217.895524	79.462	-74.6619
218.261735	79.348	-75.2581
218.627946	79.232	-75.8218
218.994157	79.115	-76.3528
219.360368	78.995	-76.8511
219.726579	78.875	-77.3167
220.092790	78.753	-77.7500
220.459001	78.630	-78.1519
220.825212	78.505	-78.5229
221.191423	78.380	-78.8640
221.557634	78.254	-79.1765
221.923845	78.127	-79.4614
222.290056	78.000	-79.7207
222.656266	77.873	-79.9556
223.022477	77.745	-80.1677
223.388688	77.618	-80.3594
223.754899	77.491	-80.5325
224.121110	77.365	-80.6890
224.487321	77.240	-80.8306
224.853532	77.115	-80.9600
225.219743	76.992	-81.0789
225.585954	76.870	-81.1892
225.952165	76.750	-81.2935
226.318376	76.631	-81.3933
226.684587	76.515	-81.4910
227.050798	76.400	-81.5879
227.417009	76.288	-81.6860
227.783220	76.178	-81.7869
228.149431	76.071	-81.8921
228.515642	75.966	-82.0029
228.881853	75.863	-82.1208
229.248064	75.764	-82.2468
229.614275	75.666	-82.3821
229.980486	75.572	-82.5271
230.346697	75.480	-82.6831
230.712908	75.391	-82.8503
231.079119	75.304	-83.0293
231.445330	75.219	-83.2205
231.811541	75.137	-83.4238
232.177752	75.057	-83.6394
232.543963	74.979	-83.8674
232.910174	74.903	-84.1074
233.276385	74.829	-84.3589
233.642595	74.757	-84.6218
234.008806	74.685	-84.8955
234.375017	74.615	-85.1790
234.741228	74.547	-85.4719
235.107439	74.479	-85.7734
235.473650	74.411	-86.0828
235.839861	74.344	-86.3987
236.206072	74.278	-86.7205
236.572283	74.212	-87.0471
236.938494	74.146	-87.3782
237.304705	74.080	-87.7122
237.670916	74.014	-88.0483
238.037127	73.948	-88.3862
238.403338	73.881	-88.7249
238.769549	73.815	-89.0637
239.135760	73.748	-89.4023
239.501971	73.680	-89.7405
239.868182	73.612	-90.0776
240.234393	73.544	-90.4141
240.600604	73.476	-90.7498
240.966815	73.407	-91.0847
241.333026	73.339	-91.4199
241.699237	73.270	-91.7554
242.065448	73.201	-92.0923
242.431659	73.132	-92.4314
242.797870	73.064	-92.7739
243.164081	72.995	-93.1213
243.530292	72.928	-93.4749
243.896503	72.861	-93.8362
244.262714	72.794	-94.2073
244.628925	72.729	-94.5896
244.995135	72.664	-94.9854
245.361346	72.601	-95.3967
245.727557	72.539	-95.8257
246.093768	72.478	-96.2744
246.459979	72.418	-96.7454
246.826190	72.360	-97.2407
247.192401	72.304	-97.7629
247.558612	72.249	-98.3140
247.924823	72.196	-98.8967
248.291034	72.144	-99.5132
248.657245	72.095	-100.1655
249.023456	72.047	-100.8562
249.389667	72.001	-101.5872
249.755878	71.957	-102.3608
250.122089	71.915	-103.1792
250.488300	71.875	-104.0442
250.854511	71.836	-104.9578
251.220722	71.799	-105.9219
251.586933	71.764	-106.9385
251.953144	71.731	-108.0090
252.319355	71.699	-109.1353
252.685566	71.669	-110.3188
253.051777	71.640	-111.5615
253.417988	71.613	-112.8647
253.784199	71.587	-114.2295
254.150410	71.562	-115.6575
254.516621	71.539	-117.1501
254.882832	71.517	-118.7085
255.249043	71.497	-120.3337
255.615254	71.477	-122.0269
255.981465	71.459	-123.7893
256.347675	71.442	-125.6218
256.713886	71.427	-127.5256
257.080097	71.412	-129.5015
257.446308	71.399	-131.5500
257.812519	71.387	-133.6724
258.178730	71.376	-135.8691
258.544941	71.366	-138.1409
258.911152	71.357	-140.4880
259.277363	71.350	-142.9116
259.643574	71.345	-145.4114
260.009785	71.340	-147.9883
260.375996	71.338	-150.6421
260.742207	71.336	-153.3728
261.108418	71.337	-156.1809
261.474629	71.339	-159.0659
261.840840	71.343	-162.0276
