* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (2- OmniMic                  ), MICROPHONE (Master Volume), L, volume: 0,520
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: Jul 14, 2023 12:35:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Charlie3 50 -12
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
184.204115	86.918	-25.1027
184.570326	86.971	-27.7625
184.936537	87.020	-30.4124
185.302748	87.066	-33.0525
185.668959	87.108	-35.6830
186.035170	87.145	-38.3036
186.401381	87.179	-40.9139
186.767592	87.209	-43.5137
187.133803	87.234	-46.1022
187.500014	87.256	-48.6786
187.866225	87.272	-51.2422
188.232436	87.285	-53.7920
188.598647	87.293	-56.3270
188.964857	87.297	-58.8462
189.331068	87.296	-61.3483
189.697279	87.291	-63.8320
190.063490	87.281	-66.2964
190.429701	87.267	-68.7397
190.795912	87.249	-71.1614
191.162123	87.226	-73.5596
191.528334	87.198	-75.9326
191.894545	87.167	-78.2800
192.260756	87.130	-80.6001
192.626967	87.090	-82.8916
192.993178	87.046	-85.1531
193.359389	86.997	-87.3838
193.725600	86.944	-89.5825
194.091811	86.888	-91.7478
194.458022	86.827	-93.8789
194.824233	86.762	-95.9751
195.190444	86.694	-98.0352
195.556655	86.622	-100.0581
195.922866	86.547	-102.0439
196.289077	86.468	-103.9915
196.655288	86.385	-105.9004
197.021499	86.300	-107.7700
197.387710	86.211	-109.6006
197.753921	86.119	-111.3916
198.120132	86.025	-113.1426
198.486343	85.928	-114.8542
198.852554	85.828	-116.5264
199.218765	85.726	-118.1592
199.584976	85.621	-119.7534
199.951187	85.515	-121.3096
200.317397	85.407	-122.8279
200.683608	85.297	-124.3096
201.049819	85.185	-125.7559
201.416030	85.072	-127.1670
201.782241	84.958	-128.5452
202.148452	84.844	-129.8911
202.514663	84.728	-131.2065
202.880874	84.612	-132.4927
203.247085	84.496	-133.7510
203.613296	84.379	-134.9839
203.979507	84.263	-136.1926
204.345718	84.147	-137.3789
204.711929	84.031	-138.5447
205.078140	83.917	-139.6919
205.444351	83.802	-140.8218
205.810562	83.689	-141.9365
206.176773	83.577	-143.0381
206.542984	83.466	-144.1272
206.909195	83.357	-145.2061
207.275406	83.249	-146.2759
207.641617	83.142	-147.3381
208.007828	83.037	-148.3938
208.374039	82.933	-149.4438
208.740250	82.830	-150.4895
209.106461	82.729	-151.5312
209.472672	82.630	-152.5693
209.838883	82.531	-153.6045
210.205094	82.434	-154.6372
210.571305	82.338	-155.6670
210.937516	82.243	-156.6943
211.303726	82.149	-157.7183
211.669937	82.055	-158.7388
212.036148	81.962	-159.7554
212.402359	81.869	-160.7673
212.768570	81.777	-161.7739
213.134781	81.685	-162.7742
213.500992	81.592	-163.7671
213.867203	81.500	-164.7522
214.233414	81.407	-165.7280
214.599625	81.314	-166.6936
214.965836	81.220	-167.6479
215.332047	81.126	-168.5903
215.698258	81.031	-169.5195
216.064469	80.935	-170.4348
216.430680	80.838	-171.3354
216.796891	80.740	-172.2207
217.163102	80.642	-173.0903
217.529313	80.542	-173.9434
217.895524	80.442	-174.7800
218.261735	80.341	-175.6001
218.627946	80.238	-176.4033
218.994157	80.136	-177.1904
219.360368	80.032	-177.9617
219.726579	79.928	-178.7173
220.092790	79.823	-179.4580
220.459001	79.718	179.8154
220.825212	79.613	179.1021
221.191423	79.507	178.4006
221.557634	79.401	177.7104
221.923845	79.295	177.0298
222.290056	79.190	176.3579
222.656266	79.084	175.6934
223.022477	78.979	175.0347
223.388688	78.874	174.3811
223.754899	78.769	173.7312
224.121110	78.665	173.0835
224.487321	78.561	172.4375
224.853532	78.458	171.7920
225.219743	78.356	171.1462
225.585954	78.254	170.4993
225.952165	78.153	169.8506
226.318376	78.052	169.1997
226.684587	77.952	168.5464
227.050798	77.853	167.8906
227.417009	77.754	167.2322
227.783220	77.655	166.5713
228.149431	77.557	165.9082
228.515642	77.460	165.2432
228.881853	77.362	164.5769
229.248064	77.265	163.9102
229.614275	77.168	163.2432
229.980486	77.071	162.5774
230.346697	76.974	161.9136
230.712908	76.877	161.2522
231.079119	76.780	160.5950
231.445330	76.682	159.9426
231.811541	76.584	159.2964
232.177752	76.486	158.6575
232.543963	76.387	158.0271
232.910174	76.287	157.4062
233.276385	76.187	156.7964
233.642595	76.087	156.1982
234.008806	75.985	155.6133
234.375017	75.883	155.0427
234.741228	75.780	154.4873
235.107439	75.677	153.9482
235.473650	75.572	153.4260
235.839861	75.467	152.9219
236.206072	75.361	152.4365
236.572283	75.254	151.9707
236.938494	75.146	151.5247
237.304705	75.038	151.0989
237.670916	74.929	150.6936
238.037127	74.819	150.3088
238.403338	74.709	149.9448
238.769549	74.598	149.6011
239.135760	74.487	149.2773
239.501971	74.375	148.9727
239.868182	74.264	148.6868
240.234393	74.152	148.4185
240.600604	74.041	148.1665
240.966815	73.929	147.9294
241.333026	73.819	147.7061
241.699237	73.709	147.4941
242.065448	73.599	147.2920
242.431659	73.491	147.0972
242.797870	73.384	146.9077
243.164081	73.279	146.7207
243.530292	73.175	146.5337
243.896503	73.073	146.3440
244.262714	72.974	146.1482
244.628925	72.877	145.9434
244.995135	72.782	145.7266
245.361346	72.691	145.4941
245.727557	72.602	145.2427
246.093768	72.517	144.9692
246.459979	72.435	144.6697
246.826190	72.357	144.3408
247.192401	72.283	143.9790
247.558612	72.213	143.5808
247.924823	72.147	143.1426
248.291034	72.085	142.6609
248.657245	72.027	142.1321
249.023456	71.974	141.5527
249.389667	71.925	140.9199
249.755878	71.881	140.2295
250.122089	71.841	139.4788
250.488300	71.806	138.6646
250.854511	71.774	137.7832
251.220722	71.747	136.8325
251.586933	71.724	135.8091
251.953144	71.705	134.7104
252.319355	71.690	133.5342
252.685566	71.678	132.2771
253.051777	71.670	130.9375
253.417988	71.665	129.5127
253.784199	71.663	128.0015
254.150410	71.664	126.4011
254.516621	71.668	124.7104
254.882832	71.674	122.9280
255.249043	71.682	121.0522
255.615254	71.692	119.0825
255.981465	71.704	117.0171
256.347675	71.718	114.8562
256.713886	71.733	112.5989
257.080097	71.749	110.2451
257.446308	71.766	107.7944
257.812519	71.784	105.2473
258.178730	71.803	102.6038
258.544941	71.823	99.8647
258.911152	71.843	97.0305
259.277363	71.864	94.1025
259.643574	71.885	91.0815
260.009785	71.906	87.9690
260.375996	71.928	84.7664
260.742207	71.950	81.4758
261.108418	71.972	78.0986
261.474629	71.995	74.6372
261.840840	72.018	71.0940
262.207051	72.041	67.4709
262.573262	72.065	63.7712
262.939473	72.089	59.9973
263.305684	72.114	56.1521
263.671895	72.140	52.2385
264.038106	72.166	48.2603
264.404317	72.193	44.2205
264.770528	72.221	40.1223
265.136739	72.249	35.9695
265.502950	72.279	31.7659
265.869161	72.311	27.5146
266.235372	72.343	23.2205
266.601583	72.377	18.8867
266.967794	72.412	14.5171
267.334004	72.450	10.1160
267.700215	72.488	5.6868
268.066426	72.529	1.2339
268.432637	72.571	-3.2390
268.798848	72.616	-7.7280
269.165059	72.662	-12.2295
269.531270	72.710	-16.7397
269.897481	72.761	-21.2551
270.263692	72.813	-25.7722
270.629903	72.868	-30.2878
270.996114	72.925	-34.7986
271.362325	72.984	-39.3018
271.728536	73.045	-43.7944
272.094747	73.108	-48.2739
272.460958	73.174	-52.7380
272.827169	73.241	-57.1848
273.193380	73.310	-61.6123
273.559591	73.381	-66.0186
273.925802	73.454	-70.4028
274.292013	73.528	-74.7634
274.658224	73.604	-79.0999
275.024435	73.681	-83.4114
